ID;Imei;Device;
2971;35409800;TCL Mobile GC23;
2972;35409801;Motorola L7i;
2973;35409901;Motorola V3;
2974;35410001;Motorola K1;
2975;35410100;CECT T689;
2976;35410700;Motorola V300;
2977;35410900;TCL Mobile 898;
2978;35411000;TCL Mobile 858;
2979;35411100;Maxon T518;
2980;35411200;Maxon MX-E80;
2981;35411300;Maxon DS6;
2982;35411501;Siemens HC15;
2983;35411700;Kejian K690;
2984;35412000;Amio DA60;
2985;35412200;Capitel C8828;
2986;35412300;Maxon MX-C140;
2987;35412400;CECT S566;
2988;35412500;CECT S569;
2989;35412600;CECT OS70;
2990;35413600;CECT Q588;
2991;35413700;CECT Q788;
2992;35414100;Voxtel V100;
2993;35414200;Amio M6;
2994;35414400;Panasonic EB-X100;
2995;35414700;Samsung Z105;
2996;35414800;Samsung E610;
2997;35415000;Samsung E800;
2998;35415500;Samsung X120;
2999;35415501;SonyEricsson J100i;
3000;35415900;Samsung E800;
3001;35416000;Samsung E800;
3002;35416301;Samsung 709SC;
3003;35416900;Samsung D800;
3004;35417600;CECT 690;
3005;35417801;Samsung Z728;
3006;35418400;Alcatel 153;
3007;35418701;SonyEricsson Z530i;
3008;35419200;Samsung E808;
3009;35419300;Samsung SAFDFt;
3010;35419400;Samsung E800c;
3011;35419800;Samsung C225;
3012;35420300;Ningbo Bird S689;
3013;35420400;Motorola v3i;
3014;35420600;Ningbo Bird S570;
3015;35420700;BenQ M300;
3016;35421200;SonyEricsson GC85 EDGE;
3017;35421800;LG G650;
3018;35421900;Siemens SL65;
3019;35422000;Siemens SL65;
3020;35422200;RIM 7290;
3021;35422301;Samsung T329;
3022;35422400;SonyEricsson F500i;
3023;35422401;Samsung E200;
3024;35422600;SonyEricsson K500i;
3025;35422800;SonyEricsson K500i;
3026;35423000;SonyEricsson K508i;
3027;35423200;SonyEricsson K500i;
3028;35423400;SonyEricsson P910i;
3029;35423500;SonyEricsson P910i;
3030;35423700;BenQ-Siemens S680C;
3031;35424401;SonyEricsson W300i;
3032;35424600;Siemens A57;
3033;35424700;Siemens A57;
3034;35424800;Siemens A57;
3035;35424900;Siemens A57;
3036;35425900;SonyEricsson k500i;
3037;35426000;SonyEricsson K500i;
3038;35426101;Samsung C308;
3039;35426300;TCL Mobile 3588;
3040;35426301;Samsung C130;
3041;35426601;Samsung X160;
3042;35426900;Sagem SG341i;
3043;35426901;SonyEricsson W200i;
3044;35427300;Samsung X460;
3045;35427700;Samsung X468;
3046;35427800;Samsung Z105/M;
3047;35427900;Amio F6;
3048;35428001;BenQ HERB1A;
3049;35428100;SonyEricsson W810i;
3050;35428701;BenQ E61;
3051;35428801;BenQ M315;
3052;35428900;SonyEricsson W200i;
3053;35429000;SonyEricsson T630;
3054;35429100;SonyEricsson T630;
3055;35429400;LG U8110;
3056;35429600;LG LG8120;
3057;35429700;Samsung Z107;
3058;35429800;Samsung X468;
3059;35429900;Samsung E315;
3060;35429901;Samsung D900/8;
3061;35430000;Samsung E330;
3062;35430001;Nokia 6680;
3063;35430100;Nokia 2650;
3064;35430200;Nokia 3220b;
3065;35430300;Nokia 1100;
3066;35430400;Nokia 1100;
3067;35430500;Nokia 9500;
3068;35430600;Nokia 9500;
3069;35430700;Nokia 7260;
3070;35430800;Nokia 1100/3220;
3071;35430900;Nokia 1100;
3072;35431000;Nokia 3100;
3073;35431100;Nokia 6100;
3074;35431200;Nokia 3100;
3075;35431300;Nokia 3310;
3076;35431400;Nokia 3315;
3077;35431500;Nokia 2300;
3078;35431600;Nokia 2300;
3079;35431601;Samsung E210;
3080;35431700;Nokia 2300;
3081;35431701;Samsung C260;
3082;35431800;Nokia 2100;
3083;35431900;Nokia 1100;
3084;35432000;Nokia 1100;
3085;35432100;Nokia 9300;
3086;35432200;Nokia 2100;
3087;35432201;Samsung E370;
3088;35432300;Nokia 2650;
3089;35432400;Nokia 9500;
3090;35432500;Nokia 9500b;
3091;35432600;Nokia 3410;
3092;35432700;Nokia 6230;
3093;35432800;Nokia 3100;
3094;35432900;Nokia 3120;
3095;35433000;Nokia 6670;
3096;35433100;Nokia 6670b;
3097;35433200;Nokia 2650;
3098;35433300;Nokia 2600;
3099;35433400;Nokia 7260;
3100;35433500;Nokia 3100b;
3101;35433501;Samsung T329;
3102;35433600;Nokia 2600;
3103;35433700;Nokia 2600;
3104;35433701;Samsung T219;
3105;35433800;Nokia 6822a;
3106;35433900;Nokia 6822a;
3107;35434000;Nokia 6822a;
3108;35434100;Nokia 6822b;
3109;35434200;Nokia 6822b;
3110;35434201;SonyEricsson K310i;
3111;35434300;Nokia 6822b;
3112;35434301;Sony Ericsson K510i;
3113;35434400;Nokia 3200;
3114;35434500;Nokia 6610i;
3115;35434600;Nokia 6610i;
3116;35434601;Samsung T219;
3117;35434700;Nokia 3510i/30;
3118;35434701;Motorola V3;
3119;35434800;Nokia 3510i/30;
3120;35434900;Nokia 6630;
3121;35435000;Nokia 6630;
3122;35435200;Motorola V535;
3123;35435300;Motorola V400P;
3124;35435500;Motorola C200;
3125;35435600;Motorola C117/15;
3126;35435700;Motorola V171;
3127;35435800;Motorola V171;
3128;35435900;Motorola C155;
3129;35436000;Motorola MPX220;
3130;35436100;Motorola C650/51;
3131;35436200;Motorola V400P;
3132;35436300;Samsung N700;
3133;35436800;Nokia N95;
3134;35437100;Samsung X460c;
3135;35437500;Alcatel 136;
3136;35437601;Sony Ericsson K750i;
3137;35437700;Alcatel 55;
3138;35437701;Sony Ericsson K750i;
3139;35437900;NEC N923;
3140;35438400;Konka C956;
3141;35438700;NEC N401i/N770i;
3142;35438800;NEC N720/N728;
3143;35438900;Maxon V7990;
3144;35439000;Maxon V808;
3145;35439500;LG T5100;
3146;35439700;SonyEricsson P910i;
3147;35440601;LG KU970;
3148;35440900;NEC N960;
3149;35441100;CECT T590;
3150;35441101;CECT p9100;
3151;35441600;Sony Ericcson k500i;
3152;35441701;Samsung i718;
3153;35442500;CECT TY299;
3154;35443900;Motorola E398;
3155;35444000;Motorola C117/15;
3156;35444100;Motorola C200;
3157;35444200;Motorola C650/51;
3158;35444300;Motorola C550;
3159;35444400;Motorola V180;
3160;35444500;Motorola V535;
3161;35444600;Motorola V66;
3162;35444700;Motorola C155;
3163;35444701;Samsung X680;
3164;35444800;Motorola E398;
3165;35444900;Motorola V180;
3166;35445000;Motorola V535;
3167;35445100;Samsung X610;
3168;35445400;Panasonic EB-A10;
3169;35445500;Panasonic EB-A102;
3170;35445701;LG KW820;
3171;35445800;CECT s568;
3172;35446700;Sendo SV663;
3173;35446800;SonyEricsson K700i;
3174;35447200;NEC N110;
3175;35448100;Samsung D300;
3176;35448200;Samsung E818;
3177;35448300;Samsung C100;
3178;35448400;Samsung P738;
3179;35448600;Ningbo Bird V89;
3180;35449200;Siemens A65;
3181;35449300;Siemens A65;
3182;35449400;Siemens A65;
3183;35449500;Siemens A65;
3184;35449600;Siemens A65;
3185;35449700;Siemens A65;
3186;35450000;Nokia 6630;
3187;35450100;Motorola V180;
3188;35450200;Motorola V535/V300;
3189;35450201;Motorola C117;
3190;35450300;Motorola V1050;
3191;35450400;Motorola V220;
3192;35450500;Motorola V220;
3193;35450501;Motorola K1;
3194;35450600;Motorola MPx220;
3195;35450700;Motorola E1000;
3196;35450701;Motorola K3;
3197;35450800;Motorola C650/51;
3198;35450801;Motorola C651;
3199;35450900;Motorola V400P;
3200;35450901;Motorola V3;
3201;35451000;Motorola C380;
3202;35451001;Motorola V3;
3203;35451100;Motorola V220;
3204;35451101;Motorola V3;
3205;35451201;Motorola V3;
3206;35451300;SonyEricsson S700;
3207;35451301;Motorola W370;
3208;35451401;Motorola V3i;
3209;35451500;SonyEricsson S700i;
3210;35451501;Motorola C117;
3211;35451601;Motorola K1;
3212;35451701;Motorola V3i;
3213;35451901;Motorola V3;
3214;35452001;Motorola V3;
3215;35452101;Motorola L6;
3216;35452201;Motorola W220;
3217;35452300;CECT U90;
3218;35452301;Motorola V171;
3219;35452401;Motorola E6;
3220;35452501;Motorola K1;
3221;35452601;Nokia 1600;
3222;35452700;SonyEricsson T630;
3223;35452701;Nokia 1600;
3224;35452801;Nokia 1600;
3225;35452901;Nokia 1600;
3226;35453100;Samsung S500;
3227;35453200;Samsung X450;
3228;35453201;Nokia 6020;
3229;35453301;Nokia n72;
3230;35453400;Nokia 6288;
3231;35453401;Nokia 1600;
3232;35453501;Nokia 1112;
3233;35453601;Nokia 1600;
3234;35453701;Nokia 1110i;
3235;35453801;Nokia 1112;
3236;35453901;Nokia 1110;
3237;35454001;Nokia 1112;
3238;35454101;Nokia 3220b;
3239;35454200;Sony-Ericsson T230;
3240;35454201;Nokia 7260;
3241;35454301;Nokia 2200;
3242;35454401;Nokia 6234;
3243;35454500;SonyEricsson P910a;
3244;35454701;Nokia 1110;
3245;35454800;SonyEricsson s700i;
3246;35454901;Nokia 6101;
3247;35455001;Nokia 1112;
3248;35455100;NEC N916;
3249;35455101;Nokia N70-1;
3250;35455201;Nokia 2310;
3251;35455301;Nokia 3230;
3252;35455400;Samsung A800;
3253;35455401;Nokia 5300;
3254;35455500;Samsung X450;
3255;35455501;Nokia 1600;
3256;35455600;Sony Ericsson K790i;
3257;35455601;Nokia 6111;
3258;35455801;Nokia 6288;
3259;35455901;Nokia 6230i;
3260;35456001;Nokia 2610;
3261;35456101;Nokia 2610;
3262;35456201;Nokia 6070;
3263;35456401;Nokia 5300;
3264;35456501;Nokia 5200;
3265;35456600;SonyEricsson K750i;
3266;35456601;Nokia 6131;
3267;35456701;Nokia 3200;
3268;35456801;Nokia N72;
3269;35456901;Nokia 6290;
3270;35457001;Nokia 6290;
3271;35457201;Nokia 1110;
3272;35457300;Panasonic EB-A200;
3273;35457401;Nokia 1600;
3274;35457601;Samsung E740;
3275;35457901;SonyEricsson W830c;
3276;35458001;RIM Blackberry 8100;
3277;35458701;Samsung X680V;
3278;35459300;RIM 7100v;
3279;35459400;RIM 7100g;
3280;35460300;CECT y809;
3281;35461100;HTC 5600;
3282;35461101;Samsung X510;
3283;35461400;Motorola E1000;
3284;35461600;Motorola V180;
3285;35461700;Motorola C350;
3286;35461900;Motorola V180;
3287;35462000;Motorola C155;
3288;35462100;Motorola C200;
3289;35462200;Motorola MPx220;
3290;35462300;Motorola V635;
3291;35462301;Sony Ericsson W810i;
3292;35462400;Motorola V635;
3293;35462500;Motorola V180;
3294;35462501;SonyEricsson W710i;
3295;35462601;Sony Ericsson Z710i;
3296;35462700;Samsung Z107;
3297;35463200;Samsung E630;
3298;35463401;Nokia 3250;
3299;35463701;SonyEricsson K610i;
3300;35463801;Sony Ericsson k610i;
3301;35463901;SonyEricsson V630i;
3302;35464001;SonyEricsson Z310i;
3303;35464300;Siemens A52;
3304;35464400;Panasonic X700;
3305;35464700;Nokia 8800;
3306;35464901;SonyEricsson W880i;
3307;35465700;Sagem MyX-55;
3308;35466700;CECT T818;
3309;35467001;SonyEricsson Z310i;
3310;35467201;RIM Blackberry 8800;
3311;35467401;Nokia n98;
3312;35468000;Sagem MyX5-2T;
3313;35468200;Voxtel V50;
3314;35468500;SonyEricsson V800i;
3315;35469101;SonyEricsson K510i;
3316;35470101;LG KG110;
3317;35470901;Samsung X568;
3318;35471001;Samsung X530;
3319;35471101;Samsung E900;
3320;35471400;Samsung C200n;
3321;35471500;Motorola E211;
3322;35471600;Sharp GX-25;
3323;35471601;SonyEricsson K810i;
3324;35471700;Sharp GX;
3325;35471800;Sharp GX-15;
3326;35471900;Sharp GX-T300/TM200;
3327;35472000;Sharp GX25;
3328;35472100;Sharp 903;
3329;35472200;Sharp GX-17;
3330;35472300;Sharp 703 SHF;
3331;35472400;Sharp 804SH;
3332;35472700;Samsung D428;
3333;35472800;Samsung E330c;
3334;35473400;Siemens C65;
3335;35473500;Siemens C6C;
3336;35473600;Siemens C65;
3337;35473700;Ningbo Bird S1180C;
3338;35473801;LG KU580;
3339;35474500;Ningbo Bird E777;
3340;35474600;CECT T586;
3341;35475000;Sony Ericsson T630;
3342;35475001;Motorola V3;
3343;35475100;Motorola V535;
3344;35475200;Motorola V620;
3345;35475300;Motorola V550;
3346;35475400;Motorola V505;
3347;35475600;Motorola E1000;
3348;35475700;Motorola V980;
3349;35475900;Motorola V3;
3350;35476000;Motorola C200;
3351;35476100;Motorola V550;
3352;35476200;Motorola V550;
3353;35476300;Siemens C65;
3354;35476301;CECT D66;
3355;35476400;Siemens C65;
3356;35476500;Siemens C65;
3357;35476800;BenQ-Siemens P50;
3358;35476900;BenQ P50;
3359;35477601;Motorola C117;
3360;35477700;LG L5100;
3361;35477701;Motorola C117;
3362;35477801;Motorola V3;
3363;35477901;Motorola C139;
3364;35478101;Motorola V3;
3365;35478400;Siemens SK65;
3366;35478401;Motorola W220;
3367;35478601;Motorola V360;
3368;35478701;Motorola C651;
3369;35478801;Motorola L9;
3370;35478901;Motorola K1;
3371;35479000;SonyEricsson K800i;
3372;35479001;Motorola C168i;
3373;35479101;Motorola C117;
3374;35479201;Motorola U6;
3375;35479300;Samsung Z107m;
3376;35479401;Motorola U6;
3377;35479501;Motorola W220;
3378;35479600;Nokia 3315;
3379;35479700;Samsung E850;
3380;35479701;Motorola V3;
3381;35479801;Motorola V3;
3382;35479901;Motorola L6;
3383;35480001;Motorola U6;
3384;35480101;Nokia 1112;
3385;35480200;NEC 338;
3386;35480201;Nokia 6125;
3387;35480401;Nokia N73;
3388;35480501;Nokia N73;
3389;35480601;Nokia 6131;
3390;35480901;Nokia 1100;
3391;35481000;Siemens M65;
3392;35481001;Nokia 1600;
3393;35481100;Siemens M65;
3394;35481201;Nokia 6070;
3395;35481301;Nokia 7610;
3396;35481501;Nokia N75;
3397;35481701;Nokia 1110i;
3398;35481801;Nokia 2310;
3399;35481901;Nokia 2310;
3400;35482001;Nokia 6030;
3401;35482101;Nokia 6233;
3402;35482201;Nokia 1110;
3403;35482300;Sendo P600;
3404;35482301;Nokia 5300;
3405;35482401;Nokia 5070;
3406;35482500;Sendo s360;
3407;35482501;Nokia 5070;
3408;35482701;Nokia 6300;
3409;35482901;Nokia 6102;
3410;35483001;Nokia 5070;
3411;35483201;Nokia E65;
3412;35483300;CECT V008;
3413;35483301;Nokia 6125;
3414;35483401;Nokia 6101;
3415;35483501;Nokia N95;
3416;35483801;Nokia 6021;
3417;35483900;LG G210;
3418;35484001;Nokia 6020;
3419;35484101;Nokia 1110;
3420;35484200;Samsung e600;
3421;35484201;Nokia 1110;
3422;35484301;Nokia 2626;
3423;35484401;Nokia 7610;
3424;35484500;Samsung Z110V;
3425;35484501;Nokia 6085;
3426;35484601;Nokia 5140i;
3427;35484701;Nokia 6110;
3428;35484801;Nokia 5200;
3429;35485001;Nokia 1110;
3430;35485900;Samsung E630;
3431;35486000;Samsung E630c;
3432;35486200;Samsung E630;
3433;35486700;LG LC2200;
3434;35487600;LG F2100;
3435;35487700;Samsung E320;
3436;35487901;RIM Blackberry 8100;
3437;35488000;Maxon MX-C93;
3438;35488100;Mitsubishi M520;
3439;35488500;SonyEricsson V800;
3440;35488600;SonyEricsson V800;
3441;35489001;Samsung D900/8;
3442;35489301;Sony Ericsson K550i;
3443;35489401;Sony Ericsson W610i;
3444;35489600;Siemens SL55;
3445;35490001;Alcatel E221x;
3446;35490100;Motorola V550;
3447;35490300;Motorola V180;
3448;35490400;Motorola V3;
3449;35490500;Motorola V551J;
3450;35490600;Motorola D1000;
3451;35490700;Motorola V186;
3452;35490900;Motorola V980;
3453;35491000;Motorola C975;
3454;35491100;Motorola A1000;
3455;35491101;SonyEricsson K550;
3456;35491200;Motorola MPx220;
3457;35491201;LG KG120;
3458;35491400;Samsung E600;
3459;35491900;Panasonic X700;
3460;35491901;Samsung ZV60;
3461;35492600;Siemens cx70;
3462;35492900;Siemens CX65;
3463;35493000;Siemens CX65;
3464;35493001;Sagem My C2-3;
3465;35493100;LG 8130(R);
3466;35493200;LG U8138;
3467;35493201;Nokia 7250;
3468;35493500;Nokia 5140i;
3469;35494301;SonyEricsson Z550i;
3470;35494901;Samsung E488;
3471;35496100;Mitsubishi M900;
3472;35496301;LG KE970;
3473;35496800;NEC N508;
3474;35497200;NEC N342i/N650;
3475;35497900;Samsung C225;
3476;35497901;Alcatel C707;
3477;35498600;Samsung C100;
3478;35498900;Motorola MPx220;
3479;35499100;Motorola C975;
3480;35499200;Motorola C980;
3481;35499300;Motorola V975 (test);
3482;35499400;Motorola E375;
3483;35499500;Motorola V535;
3484;35499601;Samsung T629;
3485;35499700;Motorola V220;
3486;35499800;Motorola V180;
3487;35499900;Motorola V400;
3488;35500000;Motorola V171;
3489;35500100;Nokia 3108;
3490;35500101;VKMobile i200;
3491;35500300;Nokia 3310;
3492;35500400;Nokia 5140;
3493;35500500;Nokia 5140;
3494;35500600;Nokia 3220b;
3495;35500700;Nokia 6100;
3496;35500800;Nokia 6230;
3497;35500900;Nokia 6230;
3498;35501000;Nokia 3128;
3499;35501100;Nokia 1100;
3500;35501200;Nokia 1100;
3501;35501300;Nokia 3310;
3502;35501400;Nokia 3100;
3503;35501500;Nokia 7270;
3504;35501600;Nokia 6170;
3505;35501700;Nokia 6170;
3506;35501800;Nokia 1100;
3507;35501900;Nokia 1100;
3508;35502000;Nokia 7710;
3509;35502001;Samsung 708sc;
3510;35502100;Nokia 7710;
3511;35502200;Nokia 3120;
3512;35502300;Nokia 6670;
3513;35502400;Nokia 3410;
3514;35502500;Nokia 3310;
3515;35502600;Nokia 2650;
3516;35502700;Nokia 1100;
3517;35502800;Nokia 3120b;
3518;35502900;Nokia 1100;
3519;35503000;Nokia 1100;
3520;35503100;Nokia 7270;
3521;35503200;Nokia 6230b;
3522;35503300;Nokia 7280;
3523;35503400;Nokia 7610;
3524;35503600;Nokia 2300;
3525;35503700;Nokia 3120;
3526;35503800;Nokia 6230;
3527;35503900;Nokia 6230;
3528;35504000;Nokia 6230;
3529;35504100;Nokia 7280;
3530;35504200;Nokia 3220;
3531;35504300;Nokia 3100;
3532;35504400;Nokia 3100;
3533;35504500;Nokia 6260;
3534;35504600;Nokia 1100;
3535;35504601;HTC P3450;
3536;35504700;Nokia 1100;
3537;35504800;Nokia 6100;
3538;35504900;Nokia 5140;
3539;35505000;Nokia 6620;
3540;35505300;Nokia 6670;
3541;35505301;Motorola V3;
3542;35505401;Motorola K1;
3543;35505501;Motorola V3i;
3544;35505601;Motorola L7;
3545;35505700;Samsung D500;
3546;35505800;Samsung D500;
3547;35505801;Motorola V3i;
3548;35505901;Motorola V3x;
3549;35506400;SonyEricsson W810i;
3550;35506601;Motorola V3;
3551;35506701;Motorola C651;
3552;35506801;Motorola C651;
3553;35506901;Motorola L6;
3554;35507000;Samsung D500;
3555;35507001;Motorola V3i;
3556;35507101;Motorola V3i;
3557;35507201;Motorola C651/F3;
3558;35507301;Motorola K3;
3559;35507800;Motorola V3;
3560;35507900;Motorola C155;
3561;35508000;Motorola V535;
3562;35508200;Motorola V550;
3563;35508500;Motorola V171;
3564;35508600;Motorola V171;
3565;35508700;Motorola V171;
3566;35508801;Samsung D900/8;
3567;35509100;LG A7150;
3568;35509200;BenQ M305;
3569;35509201;Samsung C300;
3570;35509301;Samsung E840/8;
3571;35509500;Arima i43;
3572;35509900;Samsung D500;
3573;35510700;Ericsson j200i;
3574;35510800;SonyEricsson J200i;
3575;35510900;SonyEricsson J200i;
3576;35511500;SonyEricsson T610;
3577;35511600;LG 8120;
3578;35511900;Mitsubishi m430i;
3579;35512101;LG KG70;
3580;35513101;Siemens TC63;
3581;35513201;Siemens TC65;
3582;35515001;Sagem my411v;
3583;35516800;NEC N430i;
3584;35516900;NEC N840/e545;
3585;35517800;Alcatel 757;
3586;35518400;Ningbo Bird V09;
3587;35518800;Sendo SND360/P360;
3588;35519000;SonyEricsson T230;
3589;35519400;LG G220;
3590;35519501;Samsung T329;
3591;35519601;Samsung E116;
3592;35519701;Samsung C258;
3593;35520200;Arima U308;
3594;35520500;BenQ M300;
3595;35521000;Samsung  A795;
3596;35521400;Motorola V535;
3597;35521500;Motorola C117;
3598;35521600;Motorola V535;
3599;35521700;Motorola V400P;
3600;35521800;Motorola V535;
3601;35521900;Motorola V550;
3602;35522000;Motorola C381p;
3603;35522100;Motorola V220;
3604;35522200;Motorola C380;
3605;35522300;Motorola C380;
3606;35522400;Motorola V535;
3607;35522500;Motorola V535;
3608;35523300;Nokia 6021;
3609;35523800;Samsung E638;
3610;35523900;Samsung X460;
3611;35524900;NEC N738;
3612;35525000;NEC N940;
3613;35525100;NEC N930;
3614;35525200;NEC N750;
3615;35525300;NEC N630;
3616;35525301;Samsung U600/8;
3617;35525400;NEC N730;
3618;35525500;NEC N160/68;
3619;35525501;SonyEricsson Z530i;
3620;35525800;Samsung E338;
3621;35525900;NEC N150;
3622;35526000;NEC N158;
3623;35526100;NEC N178;
3624;35526101;Samsung U700;
3625;35526200;NEC N170;
3626;35526201;Samsung U700;
3627;35526300;CECT U8810;
3628;35526500;NEC N760;
3629;35526700;LG 1800;
3630;35527100;SonyEricsson W700i;
3631;35527101;SonyEricsson W700i;
3632;35528600;Samsung E818;
3633;35528700;Samsung E720;
3634;35528800;Samsung E720;
3635;35529000;Motorola V220;
3636;35529100;Motorola A840;
3637;35529200;Motorola MPx300;
3638;35529300;Motorola V180;
3639;35529400;Motorola C380;
3640;35529500;Motorola V220;
3641;35529600;Motorola C380;
3642;35529700;Motorola V550;
3643;35529800;Motorola V535;
3644;35529900;Motorola V535;
3645;35530000;Motorola V171;
3646;35530100;Cellon CT6508;
3647;35530200;Cellon CT6608;
3648;35530300;Cellon CT 8998;
3649;35530400;Cellon CT6618;
3650;35530500;Cellon CT 1638;
3651;35530600;Cellon CT3621;
3652;35530700;Cellon CT3630;
3653;35530800;Cellon CT6558;
3654;35530900;Cellon Z 3000;
3655;35531000;Cellon CT 1608;
3656;35531100;Cellon SF65;
3657;35531101;LG KG130;
3658;35531200;Cellon CT6508;
3659;35531300;Cellon CT 8598;
3660;35531400;Cellon CT3622;
3661;35531500;Cellon CT 6558;
3662;35531600;Cellon EZ 100;
3663;35531800;Cellon CT6508;
3664;35531900;Cellon CT 1608;
3665;35532000;Cellon CT 1638;
3666;35532100;Philips 9@9s;
3667;35532200;Cellon CT 1628;
3668;35532300;Cellon CT 6508;
3669;35532400;Philips 9@9;
3670;35532500;Cellon CT3621;
3671;35532800;LG L341i;
3672;35533300;NEC n508;
3673;35533500;SonyEricsson W810i;
3674;35533600;NEC n200;
3675;35533700;Motorola V3;
3676;35533800;LG u8180;
3677;35534200;Siemens A60;
3678;35535100;Nokia 3410;
3679;35535200;Nokia 1100;
3680;35535300;Nokia 1100;
3681;35535400;Nokia 1100;
3682;35535500;Nokia 1100;
3683;35535600;Nokia 3100;
3684;35535700;Nokia 3100;
3685;35535800;Nokia 3120;
3686;35535900;Nokia 2300;
3687;35536000;Nokia 2300;
3688;35536100;Nokia 2300;
3689;35536200;Nokia 6610i;
3690;35536300;Nokia 3100;
3691;35536301;Sony Ericsson W850i;
3692;35536400;Nokia 3200;
3693;35536500;Nokia 6610i;
3694;35536501;Samsung E250/8;
3695;35536600;Nokia 6610i;
3696;35536700;Nokia 3510i/30;
3697;35536800;Nokia 3510i/30;
3698;35536900;Nokia 9300;
3699;35537000;Nokia 6600;
3700;35537100;Nokia 7610;
3701;35537200;Nokia 6020b;
3702;35537300;Nokia 6020;
3703;35537400;Nokia 6020;
3704;35537500;Nokia 6020;
3705;35537600;Nokia 6020;
3706;35537700;Nokia 2650;
3707;35537800;Nokia 9300b;
3708;35537900;Nokia 2600;
3709;35538000;Nokia 2600;
3710;35538100;Nokia 6600;
3711;35538200;Nokia 7610;
3712;35538300;Nokia 1100;
3713;35538301;Samsung U600/8;
3714;35538400;Nokia 1100;
3715;35538500;Nokia 1100;
3716;35538600;Nokia 6230i;
3717;35538700;Nokia 3220;
3718;35538800;Nokia 3220;
3719;35538900;Nokia PT-6;
3720;35539000;Nokia 6100;
3721;35539100;Nokia 6230;
3722;35539200;Nokia 6108;
3723;35539300;Nokia 2300;
3724;35539400;Nokia 2300;
3725;35539500;Nokia 3100;
3726;35539501;Samsung C188;
3727;35539600;Nokia 3100;
3728;35539700;Nokia 1100;
3729;35539800;Nokia 1100;
3730;35539801;Samsung C140;
3731;35539900;Nokia 3230;
3732;35540000;Nokia 3220;
3733;35540300;VKMobile VK660;
3734;35540601;Sony Ericsson w200i;
3735;35540701;Sony Ericsson W810i;
3736;35541401;Sagem my501c;
3737;35541700;Sagem MyV-55;
3738;35542400;Siemens A52;
3739;35542401;LG KG800;
3740;35542500;Siemens A52;
3741;35542600;Siemens A51;
3742;35542900;Samsung X450;
3743;35543200;Alcatel C651;
3744;35544101;SonyEricsson W200i;
3745;35544800;Samsung D500;
3746;35544900;Samsung Z130;
3747;35545000;Sagem MyX6-2;
3748;35545801;Samsung A707;
3749;35546001;Motorola K1;
3750;35546200;Haier T3100;
3751;35546501;Samsung C260;
3752;35546700;Samsung C208;
3753;35546800;Samsung C200;
3754;35547400;Pantech GF200;
3755;35547901;Samsung d900;
3756;35548001;Fly SX300;
3757;35548500;Samsung P207;
3758;35548801;LG MG220c;
3759;35548900;Samsung E810c;
3760;35549000;CECT 7260;
3761;35549401;Samsung D807;
3762;35549500;Haier V8800;
3763;35550000;Samsung X180;
3764;35550101;Nokia N95;
3765;35550401;Nokia 6230;
3766;35550500;Motorola V555;
3767;35550601;Nokia N73;
3768;35550700;Samsung X430;
3769;35550701;Nokia 1600;
3770;35550801;Nokia 1600;
3771;35550900;Sendo S600;
3772;35550901;Nokia 6131;
3773;35551001;Nokia 1110;
3774;35551101;Nokia 1110i;
3775;35551201;Nokia 1110;
3776;35551301;Nokia 1112;
3777;35551401;Nokia 1100/10/12;
3778;35551501;Nokia 1112;
3779;35551601;Nokia 2310;
3780;35551701;Nokia 1600;
3781;35551800;Samsung N100;
3782;35551801;Nokia 1600;
3783;35551901;Nokia 1110;
3784;35552100;Samsung GM328;
3785;35552101;Nokia N70;
3786;35552300;Samsung X156;
3787;35552301;Nokia 3310;
3788;35552401;Nokia N77;
3789;35552500;LG C1100;
3790;35552600;Motorola V3;
3791;35552700;Motorola C117;
3792;35552800;Motorola V180;
3793;35552801;Nokia 2610;
3794;35552900;Motorola V550;
3795;35552901;Nokia N70;
3796;35553000;Motorola C381;
3797;35553100;Motorola C155;
3798;35553200;Motorola E398;
3799;35553500;Motorola C650;
3800;35553501;Nokia 3110c;
3801;35553600;Motorola V550;
3802;35553601;Nokia 6133;
3803;35553700;Motorola V3;
3804;35553701;Nokia 5200;
3805;35554001;Nokia 1600;
3806;35554101;Nokia 1110;
3807;35554201;Nokia 6030;
3808;35554301;Nokia 2626;
3809;35554400;Sagem VS1;
3810;35554500;Sagem VS1;
3811;35554501;Nokia 2310;
3812;35554601;Nokia 1100;
3813;35554701;Nokia 6288;
3814;35554900;LG U8180;
3815;35555001;Nokia 5300;
3816;35555100;BenQ-Siemens Z2;
3817;35555200;BenQ-Siemens Z2;
3818;35555201;Motorola V3x;
3819;35555301;Motorola V3x;
3820;35555501;Motorola L7i;
3821;35555601;Motorola Z6;
3822;35555701;Motorola E6;
3823;35555901;Motorola w510;
3824;35556001;Motorola w510;
3825;35556201;Motorola V3x;
3826;35556600;Nokia 6681;
3827;35556801;Motorola U6;
3828;35556901;Motorola W220;
3829;35557100;Panasonic X800;
3830;35557101;Motorola V3;
3831;35557201;Motorola C117;
3832;35557300;Samsung C110;
3833;35557301;Motorola L7;
3834;35557401;Motorola V3;
3835;35557700;Samsung A800;
3836;35558000;Samsung D508;
3837;35558100;Samsung D508;
3838;35558600;SonyEricsson T290i;
3839;35558700;SonyEricsson T290c;
3840;35558800;CECT v8;
3841;35558801;LG ke270;
3842;35559400;BenQ M350;
